어휘,품사,레벨
감정01,명사,3급
강물,명사,3급
강사02,명사,3급
개나리,명사,3급
개다01,동사,3급
개인,명사,3급
개인적01/개인적02,관형사/명사,3급
걔,줄어든꼴,3급
거꾸로,부사,3급
거스름돈,명사,3급
거품,명사,3급
건널목,명사,3급
건조02,명사,3급
걸레,명사,3급
검다,형용사,3급
검색,명사,3급
검토,명사,3급
겁,명사,3급
겉옷,명사,3급
게시,명사,3급
게시판,명사,3급
겨우,부사,3급
결국02/결국01,명사/부사,3급
결제,명사,3급
경기장,명사,3급
경복궁,명사,3급
경비01,명사,3급
경비실,명사,3급
경우,명사,3급
경제,명사,3급
경제적01/경제적02,관형사/명사,3급
경찰관,명사,3급
곁01,명사,3급
계곡,명사,3급
계약,명사,3급
계약금,명사,3급
계좌,명사,3급
고객,명사,3급
고구마,명사,3급
고궁,명사,3급
고백,명사,3급
고생,명사,3급
고속,명사,3급
고추,명사,3급
고춧가루,명사,3급
곤란,명사,3급
곧이어,부사,3급
곧장,부사,3급
골고루,부사,3급
골목,명사,3급
골목길,명사,3급
골프,명사,3급
곰,명사,3급
곱다01,형용사,3급
곱하다,동사,3급
곳곳,명사,3급
공03,명사,3급
공간,명사,3급
공공,명사,3급
공공장소,명사,3급
공과금,명사,3급
공기02,명사,3급
공동,명사,3급
공사01,명사,3급
공식,명사,3급
공연,명사,3급
공연장,명사,3급
공주,명사,3급
공중전화,명사,3급
공통,명사,3급
공통점,명사,3급
공포02,명사,3급
과02,명사,3급
과로,명사,3급
과목,명사,3급
과식,명사,3급
과장02,명사,3급
과장03,명사,3급
과정01,명사,3급
과학,명사,3급
과학자,명사,3급
관객,명사,3급
관계없다,형용사,3급
관계없이,부사,3급
관계있다,형용사,3급
관람,명사,3급
관람객,명사,3급
관련,명사,3급
관리02,명사,3급
관찰,명사,3급
광경,명사,3급
굉장히,부사,3급
교시01,명사,3급
교외01,명사,3급
